episode,reward,epsilon
0,-274.89702480292374,0.997
1,-655.4517603184073,0.994009
2,-255.75299178914014,0.991026973
3,-140.34225923370616,0.988053892081
4,-154.04131660268212,0.985089730404757
5,-85.32119346465049,0.9821344612135428
6,-313.3938324035554,0.9791880578299021
7,-110.21987228905529,0.9762504936564125
8,-101.3702692972553,0.9733217421754432
9,-99.40650098706863,0.9704017769489168
10,-85.95407559748561,0.9674905716180701
11,-102.5413084599716,0.9645880999032158
12,-96.74897789501665,0.9616943356035061
13,-111.66366270642509,0.9588092525966956
14,-112.56536581991806,0.9559328248389055
15,-175.35004999172267,0.9530650263643888
16,-69.88507947440627,0.9502058312852957
17,-110.30754201779749,0.9473552137914398
18,-194.75532902779338,0.9445131481500655
19,-215.6119508020721,0.9416796087056153
20,-234.37657527042015,0.9388545698794984
21,-136.72421838125194,0.93603800616986
22,-264.281180143457,0.9332298921513504
23,-118.14123304556921,0.9304302024748964
24,-244.64549273644144,0.9276389118674717
25,-159.17017006605823,0.9248559951318693
26,-120.44778970817404,0.9220814271464737
27,-151.38604185117606,0.9193151828650342
28,-292.9133475259757,0.9165572373164391
29,-251.4659370545908,0.9138075656044898
30,-94.76406629887681,0.9110661429076764
31,-101.13643793012827,0.9083329444789534
32,-79.11884520817799,0.9056079456455165
33,-247.8632256614617,0.90289112180858
34,-192.8505121577167,0.9001824484431542
35,-148.42863062856145,0.8974819010978248
36,-245.20572477334824,0.8947894553945313
37,-302.84859356023264,0.8921050870283477
38,-71.10324146574706,0.8894287717672626
39,-241.80128006928115,0.8867604854519608
40,-187.1078557534551,0.884100203995605
41,-90.08865935434598,0.8814479033836181
42,-71.63445853600845,0.8788035596734672
43,-114.72824297034111,0.8761671489944468
44,-69.22236913975544,0.8735386475474635
45,-130.57990597737196,0.8709180316048211
46,-79.78383289071229,0.8683052775100066
47,-59.354701357648224,0.8657003616774767
48,-81.59401424694761,0.8631032605924442
49,-142.06717500872077,0.860513950810667
50,-88.08487646164892,0.857932408958235
51,-113.92089547985913,0.8553586117313603
52,-177.1392152953265,0.8527925358961662
53,-70.22139314878243,0.8502341582884777
54,-72.68581530895571,0.8476834558136123
55,-54.46174071884802,0.8451404054461714
56,-286.6181175508427,0.8426049842298329
57,-103.2794447431553,0.8400771692771434
58,-143.29138927860492,0.837556937769312
59,-68.63016231689843,0.835044266956004
60,-139.19375956428894,0.8325391341551359
61,-80.17444923797957,0.8300415167526705
62,-111.78089912236706,0.8275513922024125
63,-93.49963366454298,0.8250687380258053
64,-163.34554343455488,0.8225935318117279
65,-33.511225772352475,0.8201257512162927
66,2.7170972345272304,0.8176653739626438
67,-66.30867290081777,0.8152123778407558
68,-58.04350929379994,0.8127667407072335
69,-119.07823024636548,0.8103284404851119
70,-175.7351511316512,0.8078974551636565
71,-110.00405190671877,0.8054737627981655
72,-86.67607751551401,0.803057341509771
73,-153.23107640841823,0.8006481694852418
74,-91.65378288822471,0.798246224976786
75,-60.42877466939954,0.7958514863018556
76,-88.99718153987229,0.79346393184295
77,-72.3737328108694,0.7910835400474212
78,-40.952285857696985,0.7887102894272789
79,-96.90003435591447,0.7863441585589971
80,-63.524128974444096,0.78398512608332
81,-103.91570537732727,0.7816331707050701
82,-101.69232964109577,0.7792882711929549
83,-22.95857622694723,0.776950406379376
84,-71.16993781205102,0.7746195551602378
85,6.3887838326617725,0.7722956964947572
86,-75.08894798183694,0.7699788094052729
87,-133.33887132438159,0.767668872977057
88,-98.0220291270519,0.7653658663581259
89,-84.68556021572172,0.7630697687590515
90,-86.74102764807014,0.7607805594527743
91,-105.52902653846428,0.7584982177744161
92,-96.28230071832881,0.7562227231210928
93,-118.19473139940186,0.7539540549517295
94,-149.67462955323316,0.7516921927868743
95,-74.07319180433416,0.7494371162085136
96,-101.35406317634971,0.747188804859888
97,-150.9796101242283,0.7449472384453084
98,-77.57920551474307,0.7427123967299725
99,-123.62997451200599,0.7404842595397826
100,-68.2286778538176,0.7382628067611632
101,-4.6431639764270045,0.7360480183408797
102,-53.57139906278946,0.7338398742858571
103,-106.70308966873,0.7316383546629995
104,-199.8108932771566,0.7294434395990105
105,-94.52110587018542,0.7272551092802134
